;price ;dividend ;earnings ;cpi;rates;;;;
janv-60;53.73;1.95;3.27;29.80;3.89;;;;
févr-60;55.47;1.95;3.27;29.80;3.93;;;;
mars-60;56.80;1.95;3.27;29.80;3.84;;;;
avr-60;59.72;1.95;3.21;29.80;3.84;;;;
mai-60;62.17;1.94;3.15;29.80;3.78;;;;
juin-60;64.12;1.94;3.09;29.80;3.74;;;;
juil-60;65.83;1.94;3.07;29.80;3.78;;;;
août-60;66.50;1.94;3.05;29.80;3.71;;;;
sept-60;65.62;1.94;3.03;29.80;3.88;;;;
oct-60;65.44;1.95;3.04;30.00;3.92;;;;
nov-60;67.79;1.95;3.04;29.90;4.04;;;;
déc-60;67.26;1.96;3.05;30.00;3.98;;;;
janv-61;68.00;1.98;3.10;30.00;3.92;;;;
févr-61;71.08;2.00;3.14;30.00;3.94;;;;
mars-61;71.74;2.02;3.19;30.00;4.06;;;;
avr-61;69.07;2.03;3.25;30.00;4.08;;;;
mai-61;70.22;2.03;3.31;30.10;4.04;;;;
juin-61;70.29;2.04;3.37;30.10;3.93;;;;
juil-61;68.05;2.05;3.40;30.20;3.84;;;;
août-61;62.99;2.05;3.44;30.20;3.87;;;;
sept-61;55.63;2.06;3.47;30.20;3.91;;;;
oct-61;56.97;2.07;3.49;30.30;4.01;;;;
nov-61;58.52;2.07;3.51;30.30;3.98;;;;
déc-61;58.00;2.08;3.53;30.40;3.98;;;;
janv-62;56.17;2.10;3.58;30.40;3.93;;;;
févr-62;60.04;2.11;3.62;30.40;3.92;;;;
mars-62;62.64;2.13;3.67;30.40;3.86;;;;
avr-62;65.06;2.14;3.68;30.40;3.83;;;;
mai-62;65.92;2.14;3.70;30.40;3.92;;;;
juin-62;65.67;2.15;3.71;30.50;3.93;;;;
juil-62;68.76;2.17;3.75;30.50;3.97;;;;
août-62;70.14;2.18;3.80;30.50;3.93;;;;
sept-62;70.11;2.20;3.84;30.60;3.99;;;;
oct-62;69.07;2.20;3.88;30.70;4.02;;;;
nov-62;70.98;2.21;3.92;30.70;4.00;;;;
déc-62;72.85;2.21;3.96;30.70;4.08;;;;
janv-63;73.03;2.23;3.98;30.80;4.11;;;;
févr-63;72.62;2.26;4.00;30.80;4.12;;;;
mars-63;74.17;2.28;4.02;30.90;4.13;;;;
avr-63;76.45;2.30;4.07;30.90;4.17;;;;
mai-63;77.39;2.31;4.13;30.90;4.15;;;;
juin-63;78.80;2.33;4.18;30.90;4.22;;;;
juil-63;79.94;2.35;4.23;30.90;4.23;;;;
août-63;80.72;2.36;4.28;30.90;4.20;;;;
sept-63;80.24;2.38;4.33;31.00;4.17;;;;
oct-63;83.22;2.40;4.38;31.10;4.19;;;;
nov-63;82.00;2.42;4.42;31.00;4.19;;;;
déc-63;83.41;2.44;4.47;31.10;4.20;;;;
janv-64;84.85;2.46;4.50;31.10;4.19;;;;
févr-64;85.44;2.48;4.52;31.20;4.15;;;;
mars-64;83.96;2.50;4.55;31.20;4.18;;;;
avr-64;86.12;2.52;4.59;31.20;4.19;;;;
mai-64;86.75;2.53;4.64;31.20;4.21;;;;
juin-64;86.83;2.55;4.68;31.30;4.21;;;;
juil-64;87.97;2.57;4.73;31.40;4.20;;;;
août-64;89.28;2.59;4.79;31.40;4.21;;;;
sept-64;85.04;2.61;4.84;31.60;4.21;;;;
oct-64;84.91;2.63;4.89;31.60;4.20;;;;
nov-64;86.49;2.64;4.93;31.60;4.25;;;;
déc-64;89.38;2.66;4.98;31.60;4.29;;;;
janv-65;91.39;2.68;5.05;31.70;4.35;;;;
févr-65;92.15;2.70;5.12;31.70;4.45;;;;
mars-65;91.73;2.72;5.19;31.80;4.62;;;;
avr-65;93.32;2.74;5.24;31.80;4.61;;;;
mai-65;92.69;2.76;5.29;32.00;4.83;;;;
juin-65;88.88;2.78;5.34;32.10;4.87;;;;
juil-65;91.60;2.80;5.38;32.30;4.75;;;;
août-65;86.78;2.81;5.42;32.30;4.78;;;;
sept-65;86.06;2.83;5.46;32.40;4.81;;;;
oct-65;85.84;2.85;5.48;32.50;5.02;;;;
nov-65;80.65;2.87;5.49;32.70;5.22;;;;
déc-65;77.81;2.89;5.51;32.70;5.18;;;;
janv-66;77.13;2.88;5.52;32.90;5.01;;;;
févr-66;80.99;2.88;5.54;32.90;5.16;;;;
mars-66;81.33;2.87;5.55;32.90;4.84;;;;
avr-66;84.45;2.88;5.52;32.90;4.58;;;;
mai-66;87.36;2.89;5.48;32.90;4.63;;;;
juin-66;89.42;2.90;5.45;33.00;4.54;;;;
juil-66;90.96;2.90;5.41;33.10;4.59;;;;
août-66;92.59;2.90;5.37;33.20;4.85;;;;
sept-66;91.43;2.90;5.33;33.30;5.02;;;;
oct-66;93.01;2.91;5.32;33.40;5.16;;;;
nov-66;94.49;2.91;5.31;33.50;5.28;;;;
déc-66;95.81;2.92;5.30;33.60;5.30;;;;
janv-67;95.66;2.92;5.31;33.70;5.48;;;;
févr-67;92.66;2.92;5.32;33.80;5.75;;;;
mars-67;95.30;2.92;5.33;33.90;5.70;;;;
avr-67;95.04;2.93;5.37;34.10;5.53;;;;
mai-67;90.75;2.94;5.40;34.20;5.56;;;;
juin-67;89.09;2.95;5.44;34.30;5.74;;;;
juil-67;95.67;2.96;5.48;34.40;5.64;;;;
août-67;97.87;2.98;5.53;34.50;5.87;;;;
sept-67;100.50;2.99;5.57;34.70;5.72;;;;
oct-67;100.30;3.00;5.60;34.90;5.50;;;;
nov-67;98.11;3.02;5.63;35.00;5.42;;;;
déc-67;101.30;3.03;5.66;35.10;5.46;;;;
janv-68;103.80;3.04;5.69;35.30;5.58;;;;
févr-68;105.40;3.06;5.73;35.40;5.70;;;;
mars-68;106.50;3.07;5.76;35.50;6.03;;;;
avr-68;102.00;3.08;5.78;35.60;6.04;;;;
mai-68;101.50;3.09;5.80;35.80;6.19;;;;
juin-68;99.30;3.10;5.82;36.10;6.30;;;;
juil-68;101.30;3.11;5.83;36.30;6.17;;;;
août-68;104.60;3.12;5.83;36.40;6.32;;;;
sept-68;99.14;3.13;5.84;36.60;6.57;;;;
oct-68;94.71;3.14;5.86;36.80;6.72;;;;
nov-68;94.18;3.14;5.87;37.00;6.69;;;;
déc-68;94.51;3.15;5.89;37.10;7.16;;;;
janv-69;95.52;3.15;5.85;37.30;7.10;;;;
févr-69;96.21;3.16;5.82;37.50;7.14;;;;
mars-69;91.11;3.16;5.78;37.70;7.65;;;;
avr-69;90.31;3.16;5.73;37.80;7.79;;;;
mai-69;87.16;3.17;5.68;38.00;7.24;;;;
juin-69;88.65;3.17;5.63;38.20;7.07;;;;
juil-69;85.95;3.17;5.59;38.50;7.39;;;;
août-69;76.06;3.18;5.56;38.60;7.91;;;;
sept-69;75.59;3.18;5.52;38.80;7.84;;;;
oct-69;75.72;3.18;5.47;39.00;7.46;;;;
nov-69;77.92;3.19;5.41;39.00;7.53;;;;
déc-69;82.58;3.19;5.36;39.20;7.39;;;;
janv-70;84.37;3.17;5.28;39.40;7.33;;;;
févr-70;84.28;3.16;5.21;39.60;6.84;;;;
mars-70;90.05;3.14;5.13;39.80;6.39;;;;
avr-70;93.49;3.13;5.16;39.80;6.24;;;;
mai-70;97.11;3.12;5.19;39.90;6.11;;;;
juin-70;99.60;3.11;5.22;40.00;5.70;;;;
juil-70;103.00;3.11;5.25;40.10;5.83;;;;
août-70;101.60;3.10;5.29;40.30;6.39;;;;
sept-70;99.72;3.10;5.32;40.60;6.52;;;;
oct-70;99.00;3.10;5.36;40.70;6.73;;;;
nov-70;97.24;3.09;5.39;40.80;6.58;;;;
déc-70;99.40;3.09;5.43;40.80;6.14;;;;
janv-71;97.29;3.08;5.52;40.90;5.93;;;;
févr-71;92.78;3.08;5.61;40.90;5.81;;;;
mars-71;99.17;3.07;5.70;41.10;5.93;;;;
avr-71;103.30;3.07;5.74;41.10;5.95;;;;
mai-71;105.20;3.07;5.77;41.30;6.08;;;;
juin-71;107.70;3.07;5.81;41.40;6.07;;;;
juil-71;108.80;3.07;5.86;41.50;6.19;;;;
août-71;107.70;3.07;5.92;41.60;6.13;;;;
sept-71;108.00;3.07;5.97;41.70;6.11;;;;
oct-71;107.20;3.07;6.03;41.90;6.11;;;;
nov-71;111.00;3.08;6.08;42.00;6.21;;;;
déc-71;109.40;3.08;6.14;42.10;6.55;;;;
janv-72;109.60;3.10;6.23;42.30;6.48;;;;
févr-72;115.10;3.13;6.33;42.40;6.28;;;;
mars-72;117.50;3.15;6.42;42.50;6.36;;;;
avr-72;118.40;3.16;6.55;42.60;6.46;;;;
mai-72;114.20;3.16;6.67;42.90;6.64;;;;
juin-72;112.40;3.17;6.80;43.30;6.71;;;;
juil-72;110.30;3.19;6.94;43.60;6.67;;;;
août-72;107.20;3.20;7.09;43.90;6.85;;;;
sept-72;104.80;3.22;7.23;44.20;6.90;;;;
oct-72;105.80;3.24;7.38;44.30;7.13;;;;
nov-72;103.80;3.25;7.54;45.10;7.40;;;;
déc-72;105.60;3.27;7.69;45.20;7.09;;;;
janv-73;109.80;3.31;7.85;45.60;6.79;;;;
févr-73;102.00;3.34;8.00;45.90;6.73;;;;
mars-73;94.78;3.38;8.16;46.20;6.74;;;;
avr-73;96.11;3.40;8.23;46.60;6.99;;;;
mai-73;93.45;3.42;8.29;47.20;6.96;;;;
juin-73;97.44;3.44;8.36;47.80;7.21;;;;
juil-73;92.46;3.46;8.49;48.00;7.51;;;;
août-73;89.67;3.48;8.61;48.60;7.58;;;;
sept-73;89.79;3.50;8.74;49.00;7.54;;;;
oct-73;79.31;3.53;8.86;49.40;7.81;;;;
nov-73;76.03;3.56;8.99;50.00;8.04;;;;
déc-73;68.12;3.59;9.11;50.60;8.04;;;;
janv-74;69.44;3.59;9.04;51.10;7.90;;;;
févr-74;71.74;3.60;8.96;51.50;7.68;;;;
mars-74;67.07;3.60;8.89;51.90;7.43;;;;
avr-74;72.56;3.62;8.74;52.10;7.50;;;;
mai-74;80.10;3.65;8.60;52.50;7.39;;;;
juin-74;83.78;3.67;8.45;52.70;7.73;;;;
juil-74;84.72;3.68;8.29;52.90;8.23;;;;
août-74;90.10;3.70;8.12;53.20;8.06;;;;
sept-74;92.40;3.71;7.96;53.60;7.86;;;;
oct-74;92.49;3.71;7.89;54.20;8.06;;;;
nov-74;85.71;3.71;7.83;54.30;8.40;;;;
déc-74;84.67;3.71;7.76;54.60;8.43;;;;
janv-75;88.57;3.70;7.83;54.90;8.14;;;;
févr-75;90.07;3.69;7.89;55.30;8.05;;;;
mars-75;88.70;3.68;7.96;55.50;8.00;;;;
avr-75;96.86;3.68;8.19;55.60;7.74;;;;
mai-75;100.60;3.69;8.43;55.80;7.79;;;;
juin-75;101.10;3.69;8.66;55.90;7.73;;;;
juil-75;101.90;3.71;8.86;56.10;7.56;;;;
août-75;101.20;3.74;9.05;56.50;7.90;;;;
sept-75;101.80;3.76;9.25;56.80;7.86;;;;
oct-75;104.20;3.79;9.35;57.10;7.83;;;;
nov-75;103.30;3.82;9.45;57.40;7.77;;;;
déc-75;105.50;3.85;9.55;57.60;7.59;;;;
janv-76;101.90;3.92;9.67;57.90;7.41;;;;
févr-76;101.20;3.98;9.79;58.00;7.29;;;;
mars-76;104.70;4.05;9.91;58.20;6.87;;;;
avr-76;103.80;4.10;9.97;58.50;7.21;;;;
mai-76;101.00;4.14;10.02;59.10;7.39;;;;
juin-76;100.60;4.19;10.08;59.50;7.46;;;;
juil-76;99.05;4.25;10.19;60.00;7.37;;;;
août-76;98.76;4.30;10.31;60.30;7.46;;;;
sept-76;99.29;4.36;10.42;60.70;7.28;;;;
oct-76;100.20;4.41;10.52;61.00;7.33;;;;
nov-76;97.75;4.45;10.61;61.20;7.40;;;;
déc-76;96.23;4.50;10.71;61.40;7.34;;;;
janv-77;93.74;4.56;10.77;61.60;7.52;;;;
févr-77;94.28;4.61;10.83;61.90;7.58;;;;
mars-77;93.82;4.67;10.89;62.10;7.69;;;;
avr-77;90.25;4.71;10.90;62.50;7.96;;;;
mai-77;88.98;4.76;10.91;62.90;8.03;;;;
juin-77;88.82;4.80;10.92;63.40;8.04;;;;
juil-77;92.71;4.84;11.02;63.90;8.15;;;;
août-77;97.41;4.87;11.13;64.50;8.35;;;;
sept-77;97.66;4.91;11.23;65.20;8.46;;;;
oct-77;97.19;4.95;11.34;65.70;8.64;;;;
nov-77;103.90;4.98;11.46;66.00;8.41;;;;
déc-77;103.90;5.02;11.57;66.50;8.42;;;;
janv-78;100.60;5.04;11.82;67.10;8.64;;;;
févr-78;94.71;5.05;12.08;67.40;8.81;;;;
mars-78;96.11;5.07;12.33;67.70;9.01;;;;
avr-78;99.71;5.11;12.65;68.30;9.10;;;;
mai-78;98.23;5.16;12.98;69.10;9.10;;;;
juin-78;100.10;5.20;13.30;69.80;9.12;;;;
juil-78;102.10;5.25;13.53;70.60;9.18;;;;
août-78;99.73;5.29;13.75;71.50;9.25;;;;
sept-78;101.70;5.34;13.98;72.30;8.91;;;;
oct-78;102.70;5.40;14.20;73.10;8.95;;;;
nov-78;107.40;5.45;14.41;73.80;9.03;;;;
déc-78;108.60;5.51;14.63;74.60;9.33;;;;
janv-79;104.50;5.56;14.71;75.20;10.30;;;;
févr-79;103.70;5.60;14.78;75.90;10.65;;;;
mars-79;107.80;5.65;14.86;76.70;10.39;;;;
avr-79;110.90;5.70;15.00;77.80;10.80;;;;
mai-79;115.30;5.75;15.15;78.90;12.41;;;;
juin-79;104.70;5.80;15.29;80.10;12.75;;;;
juil-79;103.00;5.85;15.17;81.00;11.47;;;;
août-79;107.70;5.89;15.06;81.80;10.18;;;;
sept-79;114.60;5.94;14.94;82.70;9.78;;;;
oct-79;119.80;5.98;14.84;82.70;10.25;;;;
nov-79;123.50;6.03;14.74;83.30;11.10;;;;
déc-79;126.50;6.07;14.64;84.00;11.51;;;;
janv-80;130.20;6.10;14.70;84.80;11.75;;;;
févr-80;135.70;6.13;14.76;85.50;12.68;;;;
mars-80;133.50;6.16;14.82;86.30;12.84;;;;
avr-80;133.00;6.20;14.74;87.00;12.57;;;;
mai-80;128.40;6.24;14.66;87.90;13.19;;;;
juin-80;133.20;6.28;14.58;88.50;13.12;;;;
juil-80;134.40;6.32;14.72;89.10;13.68;;;;
août-80;131.70;6.35;14.87;89.80;14.10;;;;
sept-80;132.30;6.39;15.01;90.60;13.47;;;;
oct-80;129.10;6.43;15.10;91.60;14.28;;;;
nov-80;129.60;6.48;15.18;92.30;14.94;;;;
déc-80;118.30;6.52;15.27;93.20;15.32;;;;
janv-81;119.80;6.56;15.30;93.40;15.15;;;;
févr-81;122.90;6.59;15.33;93.70;13.39;;;;
mars-81;123.80;6.63;15.36;94.00;13.72;;;;
avr-81;117.30;6.66;15.18;94.30;14.59;;;;
mai-81;114.50;6.69;14.99;94.60;14.43;;;;
juin-81;110.80;6.72;14.81;94.50;13.86;;;;
juil-81;116.30;6.75;14.60;94.90;13.87;;;;
août-81;116.40;6.78;14.38;95.80;13.62;;;;
sept-81;109.70;6.81;14.17;97.00;14.30;;;;
oct-81;109.40;6.82;13.97;97.50;13.95;;;;
nov-81;109.70;6.84;13.76;97.70;13.06;;;;
déc-81;122.40;6.85;13.56;97.90;12.34;;;;
janv-82;132.70;6.86;13.25;98.20;10.91;;;;
févr-82;138.10;6.86;12.95;98.00;10.55;;;;
mars-82;139.40;6.87;12.64;97.60;10.54;;;;
avr-82;144.30;6.88;12.57;97.80;10.46;;;;
mai-82;146.80;6.90;12.49;97.90;10.72;;;;
juin-82;151.90;6.91;12.42;97.90;10.51;;;;
juil-82;157.70;6.92;12.48;98.60;10.40;;;;
août-82;164.10;6.93;12.53;99.20;10.38;;;;
sept-82;166.40;6.94;12.59;99.50;10.85;;;;
oct-82;167.00;6.96;12.83;99.90;11.38;;;;
nov-82;162.40;6.98;13.06;100.20;11.85;;;;
déc-82;167.20;7.00;13.30;100.70;11.65;;;;
janv-83;167.70;7.03;13.54;101.00;11.54;;;;
févr-83;165.20;7.06;13.79;101.20;11.69;;;;
mars-83;164.40;7.09;14.03;101.30;11.83;;;;
avr-83;166.40;7.12;14.44;101.90;11.67;;;;
mai-83;157.30;7.15;14.85;102.40;11.84;;;;
juin-83;157.40;7.18;15.26;102.60;12.32;;;;
juil-83;157.60;7.22;15.57;103.10;12.63;;;;
août-83;156.60;7.27;15.89;103.40;13.41;;;;
sept-83;153.10;7.31;16.20;103.70;13.56;;;;
oct-83;151.10;7.33;16.32;104.10;13.36;;;;
nov-83;164.40;7.36;16.44;104.50;12.72;;;;
déc-83;166.10;7.38;16.56;105.00;12.52;;;;
janv-84;164.80;7.43;16.59;105.30;12.16;;;;
févr-84;166.30;7.48;16.61;105.30;11.57;;;;
mars-84;164.50;7.53;16.64;105.30;11.50;;;;
avr-84;171.60;7.57;16.56;105.50;11.38;;;;
mai-84;180.90;7.62;16.47;106.00;11.51;;;;
juin-84;179.40;7.66;16.39;106.40;11.86;;;;
juil-84;180.60;7.69;16.13;106.90;11.43;;;;
août-84;184.90;7.71;15.87;107.30;10.85;;;;
sept-84;188.90;7.74;15.61;107.60;10.16;;;;
oct-84;192.50;7.77;15.48;107.80;10.31;;;;
nov-84;188.30;7.81;15.36;108.00;10.33;;;;
déc-84;184.10;7.84;15.23;108.30;10.37;;;;
janv-85;186.20;7.86;15.02;108.70;10.24;;;;
févr-85;197.50;7.88;14.82;109.00;9.78;;;;
mars-85;207.30;7.90;14.61;109.30;9.26;;;;
avr-85;208.20;7.94;14.58;109.60;9.19;;;;
mai-85;219.40;7.98;14.55;109.30;8.70;;;;
juin-85;232.30;8.02;14.52;108.80;7.78;;;;
juil-85;238.00;8.05;14.58;108.60;7.30;;;;
août-85;238.50;8.07;14.65;108.90;7.71;;;;
sept-85;245.30;8.10;14.71;109.50;7.80;;;;
oct-85;240.20;8.14;14.76;109.50;7.30;;;;
nov-85;245.00;8.19;14.80;109.70;7.17;;;;
déc-85;238.30;8.23;14.85;110.20;7.45;;;;
janv-86;237.40;8.25;14.73;110.30;7.43;;;;
févr-86;245.10;8.26;14.60;110.40;7.25;;;;
mars-86;248.60;8.28;14.48;110.50;7.11;;;;
avr-86;264.50;8.30;14.69;111.20;7.08;;;;
mai-86;280.90;8.32;14.89;111.60;7.25;;;;
juin-86;292.50;8.34;15.10;112.10;7.25;;;;
juil-86;289.30;8.40;14.87;112.70;8.02;;;;
août-86;289.10;8.46;14.65;113.10;8.61;;;;
sept-86;301.40;8.52;14.42;113.50;8.40;;;;
oct-86;310.10;8.57;14.90;113.80;8.45;;;;
nov-86;329.40;8.61;15.38;114.40;8.76;;;;
déc-86;318.70;8.66;15.86;115.00;9.42;;;;
janv-87;280.20;8.71;16.41;115.30;9.52;;;;
févr-87;245.00;8.76;16.95;115.40;8.86;;;;
mars-87;241.00;8.81;17.50;115.40;8.99;;;;
avr-87;250.50;8.86;17.86;115.70;8.67;;;;
mai-87;258.10;8.90;18.23;116.00;8.21;;;;
juin-87;265.70;8.95;18.59;116.50;8.37;;;;
juil-87;262.60;9.04;19.62;117.10;8.72;;;;
août-87;256.10;9.14;20.64;117.50;9.09;;;;
sept-87;270.70;9.23;21.67;118.00;8.92;;;;
oct-87;269.10;9.31;22.02;118.50;9.06;;;;
nov-87;263.70;9.38;22.38;119.00;9.26;;;;
déc-87;268.00;9.46;22.73;119.80;8.98;;;;
janv-88;277.40;9.55;23.07;120.20;8.80;;;;
févr-88;271.00;9.64;23.42;120.30;8.96;;;;
mars-88;276.50;9.75;23.75;120.50;9.11;;;;
avr-88;285.40;9.81;24.16;121.10;9.09;;;;
mai-88;294.00;9.90;24.56;121.60;9.17;;;;
juin-88;292.70;10.01;24.96;122.30;9.36;;;;
juil-88;302.30;10.09;25.05;123.10;9.18;;;;
août-88;313.90;10.19;25.13;123.80;8.86;;;;
sept-88;323.70;10.37;25.22;124.10;8.28;;;;
oct-88;331.90;10.42;24.71;124.40;8.02;;;;
nov-88;346.60;10.55;24.20;124.60;8.11;;;;
déc-88;347.30;10.73;23.69;125.00;8.19;;;;
janv-89;347.40;10.80;23.43;125.60;8.01;;;;
févr-89;340.20;10.92;23.16;125.90;7.87;;;;
mars-89;348.60;11.06;22.87;126.10;7.84;;;;
avr-89;339.97;11.14;22.49;127.40;8.21;;;;
mai-89;330.45;11.23;22.08;128.00;8.47;;;;
juin-89;338.46;11.32;21.67;128.70;8.59;;;;
juil-89;338.18;11.44;21.53;128.90;8.79;;;;
août-89;350.25;11.55;21.40;129.20;8.76;;;;
sept-89;360.39;11.66;21.26;129.90;8.48;;;;
oct-89;360.03;11.73;21.42;130.40;8.47;;;;
nov-89;330.75;11.78;21.58;131.60;8.75;;;;
déc-89;315.41;11.83;21.74;132.70;8.89;;;;
janv-90;307.12;11.93;21.61;133.50;8.72;;;;
févr-90;315.29;12.01;21.47;133.80;8.39;;;;
mars-90;328.75;12.09;21.34;133.80;8.08;;;;
avr-90;325.49;12.11;21.18;134.60;8.09;;;;
mai-90;362.26;12.11;21.03;134.80;7.85;;;;
juin-90;372.28;12.11;20.94;135.00;8.11;;;;
juil-90;379.68;12.13;20.36;135.20;8.04;;;;
août-90;377.99;12.14;19.86;135.60;8.07;;;;
sept-90;378.29;12.15;19.41;136.00;8.28;;;;
