;price ;dividend ;earnings ;cpi;rates;;;;
oct-90;380.23;12.19;18.84;136.20;8.27;;;;
nov-90;389.40;12.24;18.33;136.60;7.90;;;;
déc-90;387.20;12.28;17.82;137.20;7.65;;;;
janv-91;386.88;12.25;17.20;137.40;7.53;;;;
févr-91;385.92;12.23;16.59;137.80;7.42;;;;
mars-91;388.51;12.20;15.97;137.90;7.09;;;;
avr-91;416.08;12.24;16.05;138.10;7.03;;;;
mai-91;412.56;12.28;16.12;138.60;7.34;;;;
juin-91;407.36;12.32;16.19;139.30;7.54;;;;
juil-91;407.41;12.32;16.48;139.50;7.48;;;;
août-91;414.81;12.32;16.77;139.70;7.39;;;;
sept-91;408.27;12.32;17.05;140.20;7.26;;;;
oct-91;415.05;12.34;17.38;140.50;6.84;;;;
nov-91;417.93;12.37;17.71;140.90;6.59;;;;
déc-91;418.48;12.40;18.04;141.30;6.42;;;;
janv-92;412.50;12.39;18.39;141.80;6.59;;;;
févr-92;422.84;12.38;18.74;142.00;6.87;;;;
mars-92;435.64;12.39;19.09;141.90;6.77;;;;
avr-92;435.23;12.41;19.34;142.60;6.60;;;;
mai-92;441.70;12.45;19.59;143.10;6.26;;;;
juin-92;450.16;12.48;19.84;143.60;5.98;;;;
juil-92;443.08;12.49;19.67;144.00;5.97;;;;
août-92;445.25;12.51;19.50;144.20;6.04;;;;
sept-92;448.06;12.52;19.33;144.40;5.96;;;;
oct-92;447.29;12.52;19.69;144.40;5.81;;;;
nov-92;454.13;12.52;20.05;144.80;5.68;;;;
déc-92;459.24;12.52;20.41;145.10;5.36;;;;
janv-93;463.90;12.54;20.90;145.70;5.33;;;;
févr-93;462.89;12.56;21.39;145.80;5.72;;;;
mars-93;465.95;12.58;21.89;145.80;5.77;;;;
avr-93;472.99;12.62;22.16;146.20;5.75;;;;
mai-93;471.58;12.67;22.43;146.70;5.97;;;;
juin-93;463.81;12.71;22.71;147.20;6.48;;;;
juil-93;447.23;12.75;23.54;147.40;6.97;;;;
août-93;450.90;12.80;24.37;147.50;7.18;;;;
sept-93;454.83;12.84;25.20;148.00;7.10;;;;
oct-93;451.40;12.87;25.91;148.40;7.30;;;;
nov-93;464.24;12.90;26.62;149.00;7.24;;;;
déc-93;466.96;12.92;27.33;149.40;7.46;;;;
janv-94;463.81;13.01;28.42;149.50;7.74;;;;
févr-94;461.01;13.10;29.51;149.70;7.96;;;;
mars-94;455.19;13.17;30.60;149.70;7.81;;;;
avr-94;465.25;13.18;31.25;150.30;7.78;;;;
mai-94;481.92;13.18;31.90;150.90;7.47;;;;
juin-94;493.15;13.17;32.55;151.40;7.20;;;;
juil-94;507.91;13.24;33.18;151.90;7.06;;;;
août-94;523.81;13.31;33.80;152.20;6.63;;;;
sept-94;539.35;13.36;34.43;152.50;6.17;;;;
oct-94;557.37;13.44;34.68;152.50;6.28;;;;
nov-94;559.11;13.51;34.93;152.90;6.49;;;;
déc-94;578.77;13.58;35.18;153.20;6.20;;;;
janv-95;582.92;13.65;34.77;153.70;6.04;;;;
févr-95;595.53;13.72;34.37;153.60;5.93;;;;
mars-95;614.57;13.79;33.96;153.50;5.71;;;;
avr-95;614.42;13.89;33.99;154.40;5.65;;;;
mai-95;649.54;14.00;34.01;154.90;5.81;;;;
juin-95;647.07;14.10;34.04;155.70;6.27;;;;
juil-95;647.17;14.16;34.33;156.30;6.51;;;;
août-95;661.23;14.21;34.62;156.60;6.74;;;;
sept-95;668.50;14.27;34.91;156.70;6.91;;;;
oct-95;644.07;14.40;35.27;157.00;6.87;;;;
nov-95;662.68;14.53;35.64;157.30;6.64;;;;
déc-95;674.88;14.66;36.00;157.80;6.83;;;;
janv-96;701.46;14.74;36.91;158.30;6.53;;;;
févr-96;735.67;14.82;37.82;158.60;6.20;;;;
mars-96;743.25;14.90;38.73;158.60;6.30;;;;
avr-96;766.22;14.95;39.23;159.10;6.58;;;;
mai-96;798.39;15.01;39.74;159.60;6.42;;;;
juin-96;792.16;15.06;40.24;160.00;6.69;;;;
juil-96;763.93;15.09;40.34;160.20;6.89;;;;
août-96;833.09;15.13;40.45;160.10;6.71;;;;
sept-96;876.29;15.16;40.55;160.30;6.49;;;;
oct-96;925.29;15.22;40.58;160.50;6.22;;;;
nov-96;927.24;15.27;40.61;160.80;6.30;;;;
déc-96;937.02;15.33;40.64;161.20;6.21;;;;
janv-97;951.16;15.39;40.33;161.60;6.03;;;;
févr-97;938.92;15.44;40.03;161.50;5.88;;;;
mars-97;962.37;15.50;39.72;161.30;5.81;;;;
avr-97;963.36;15.55;39.66;161.60;5.54;;;;
mai-97;1023.74;15.60;39.60;161.90;5.57;;;;
juin-97;1076.83;15.64;39.54;162.20;5.65;;;;
juil-97;1112.20;15.75;39.35;162.50;5.64;;;;
août-97;1108.42;15.85;39.16;162.80;5.65;;;;
sept-97;1108.39;15.95;38.97;163.00;5.50;;;;
oct-97;1156.58;16.02;38.68;163.20;5.46;;;;
nov-97;1074.62;16.08;38.38;163.40;5.34;;;;
déc-97;1020.64;16.14;38.09;163.60;4.81;;;;
janv-98;1032.47;16.17;37.96;164.00;4.53;;;;
févr-98;1144.43;16.18;37.84;164.00;4.83;;;;
mars-98;1190.05;16.20;37.71;163.90;4.65;;;;
avr-98;1248.77;16.28;37.93;164.30;4.72;;;;
mai-98;1246.58;16.37;38.16;164.50;5.00;;;;
juin-98;1281.66;16.45;38.38;165.00;5.23;;;;
juil-98;1334.76;16.45;39.26;166.20;5.18;;;;
août-98;1332.07;16.45;40.14;166.20;5.54;;;;
sept-98;1322.55;16.45;41.02;166.20;5.90;;;;
oct-98;1380.99;16.51;42.00;166.70;5.79;;;;
nov-98;1327.49;16.58;42.98;167.10;5.94;;;;
déc-98;1318.17;16.64;43.96;167.90;5.92;;;;
janv-99;1300.01;16.66;45.36;168.20;6.11;;;;
févr-99;1391.00;16.67;46.77;168.30;6.03;;;;
mars-99;1428.68;16.69;48.17;168.30;6.28;;;;
avr-99;1425.59;16.71;49.10;168.80;6.66;;;;
mai-99;1388.87;16.74;50.02;169.80;6.52;;;;
juin-99;1442.21;16.76;50.95;171.20;6.26;;;;
juil-99;1461.36;16.74;51.27;171.30;5.99;;;;
août-99;1418.48;16.72;51.60;171.50;6.44;;;;
sept-99;1461.96;16.70;51.92;172.40;6.10;;;;
oct-99;1473.00;16.58;52.51;172.80;6.05;;;;
nov-99;1485.46;16.47;53.11;172.80;5.83;;;;
déc-99;1468.05;16.35;53.70;173.70;5.80;;;;
janv-00;1390.14;16.32;52.47;174.00;5.74;;;;
févr-00;1378.04;16.30;51.23;174.10;5.72;;;;
mars-00;1330.93;16.27;50.00;174.00;5.24;;;;
avr-00;1335.63;16.17;48.48;175.10;5.16;;;;
mai-00;1305.75;16.07;46.96;175.80;5.10;;;;
juin-00;1185.85;15.97;45.44;176.20;4.89;;;;
juil-00;1189.84;15.88;42.56;176.90;5.14;;;;
août-00;1270.37;15.78;39.67;177.70;5.39;;;;
sept-00;1238.71;15.69;36.79;178.00;5.28;;;;
oct-00;1204.45;15.71;33.96;177.50;5.24;;;;
nov-00;1178.50;15.72;31.14;177.50;4.97;;;;
déc-00;1044.64;15.74;28.31;178.30;4.73;;;;
janv-01;1076.59;15.74;27.10;177.70;4.57;;;;
févr-01;1129.68;15.74;25.90;177.40;4.65;;;;
mars-01;1144.93;15.74;24.69;176.70;5.09;;;;
avr-01;1140.21;15.74;24.69;177.10;5.04;;;;
mai-01;1100.67;15.73;24.70;177.80;4.91;;;;
juin-01;1153.79;15.73;24.70;178.80;5.28;;;;
juil-01;1111.93;15.83;25.38;179.80;5.21;;;;
août-01;1079.25;15.94;26.06;179.80;5.16;;;;
sept-01;1014.02;16.04;26.74;179.90;4.93;;;;
oct-01;903.59;15.96;27.84;180.10;4.65;;;;
nov-01;912.55;15.88;28.94;180.70;4.26;;;;
déc-01;867.81;15.80;30.04;181.00;3.87;;;;
janv-02;854.63;15.89;29.22;181.30;3.94;;;;
févr-02;909.93;15.98;28.41;181.30;4.05;;;;
mars-02;899.18;16.07;27.59;180.90;4.03;;;;
avr-02;895.84;16.12;28.50;181.70;4.05;;;;
mai-02;837.03;16.17;29.41;183.10;3.90;;;;
juin-02;846.63;16.22;30.32;184.20;3.81;;;;
juil-02;890.03;16.20;31.73;183.80;3.96;;;;
août-02;935.96;16.19;33.14;183.50;3.57;;;;
sept-02;988.00;16.17;34.55;183.70;3.33;;;;
oct-02;992.54;16.31;35.89;183.90;3.98;;;;
nov-02;989.53;16.45;37.24;184.60;4.45;;;;
déc-02;1019.44;16.59;38.58;185.20;4.27;;;;
janv-03;1038.73;16.86;41.97;185.00;4.29;;;;
févr-03;1049.90;17.12;45.35;184.50;4.30;;;;
mars-03;1080.64;17.39;48.74;184.30;4.27;;;;
avr-03;1132.52;17.60;49.83;185.20;4.15;;;;
mai-03;1143.36;17.81;50.91;186.20;4.08;;;;
juin-03;1123.98;18.02;52.00;187.40;3.83;;;;
juil-03;1133.36;18.21;53.38;188.00;4.35;;;;
août-03;1102.78;18.41;54.77;189.10;4.72;;;;
sept-03;1132.76;18.60;56.15;189.70;4.73;;;;
oct-03;1105.85;18.79;56.69;189.40;4.50;;;;
nov-03;1088.94;18.97;57.23;189.50;4.28;;;;
déc-03;1117.66;19.16;57.77;189.90;4.13;;;;
janv-04;1117.21;19.25;58.03;190.90;4.10;;;;
févr-04;1168.94;19.35;58.29;191.00;4.19;;;;
mars-04;1199.21;19.44;58.55;190.30;4.23;;;;
avr-04;1181.41;19.70;59.11;190.70;4.22;;;;
mai-04;1199.63;19.97;59.66;191.80;4.17;;;;
juin-04;1194.90;20.23;60.22;193.30;4.50;;;;
juil-04;1164.43;20.46;61.23;194.60;4.34;;;;
août-04;1178.28;20.70;62.25;194.40;4.14;;;;
sept-04;1202.25;20.93;63.26;194.50;4.00;;;;
oct-04;1222.24;21.11;64.33;195.40;4.18;;;;
nov-04;1224.27;21.29;65.40;196.40;4.26;;;;
déc-04;1225.92;21.47;66.47;198.80;4.20;;;;
janv-05;1191.96;21.72;67.59;199.20;4.46;;;;
févr-05;1237.37;21.97;68.71;197.60;4.54;;;;
mars-05;1262.07;22.22;69.83;196.80;4.47;;;;
avr-05;1278.73;22.41;70.78;198.30;4.42;;;;
mai-05;1276.65;22.59;71.72;198.70;4.57;;;;
juin-05;1293.74;22.78;72.67;199.80;4.72;;;;
juil-05;1302.17;23.00;73.28;201.50;4.99;;;;
août-05;1290.01;23.22;73.88;202.50;5.11;;;;
sept-05;1253.17;23.44;74.49;202.90;5.11;;;;
oct-05;1260.24;23.66;75.85;203.50;5.09;;;;
nov-05;1287.15;23.88;77.21;203.90;4.88;;;;
déc-05;1317.74;24.10;78.57;202.90;4.72;;;;
janv-06;1363.38;24.36;79.55;201.80;4.73;;;;
févr-06;1388.64;24.62;80.53;201.50;4.60;;;;
mars-06;1416.42;24.88;81.51;201.80;4.56;;;;
avr-06;1424.16;25.08;82.06;202.42;4.76;;;;
mai-06;1444.80;25.29;82.60;203.50;4.72;;;;
juin-06;1406.95;25.49;83.15;205.35;4.56;;;;
juil-06;1463.64;25.72;83.74;206.69;4.69;;;;
août-06;1511.14;25.94;84.33;207.95;4.75;;;;
sept-06;1514.19;26.17;84.92;208.35;5.10;;;;
oct-06;1520.71;26.44;82.81;208.30;5.00;;;;
nov-06;1454.62;26.71;80.71;207.92;4.67;;;;
déc-06;1497.12;26.98;78.60;208.49;4.52;;;;
janv-07;1539.66;27.23;74.46;208.94;4.53;;;;
févr-07;1463.39;27.48;70.32;210.18;4.15;;;;
mars-07;1479.22;27.73;66.18;210.04;4.10;;;;
avr-07;1378.76;27.92;64.25;211.08;3.74;;;;
mai-07;1354.87;28.11;62.32;211.69;3.74;;;;
juin-07;1316.94;28.30;60.39;213.53;3.51;;;;
juil-07;1370.47;28.44;57.38;214.82;3.68;;;;
août-07;1403.22;28.57;54.38;216.63;3.88;;;;
sept-07;1341.25;28.71;51.37;218.82;4.10;;;;
oct-07;1257.33;28.76;49.56;219.96;4.01;;;;
nov-07;1281.47;28.80;47.76;219.09;3.89;;;;
déc-07;1216.95;28.85;45.95;218.78;3.69;;;;
janv-08;968.80;28.70;35.59;216.57;3.81;;;;
févr-08;883.04;28.54;25.24;212.43;3.53;;;;
mars-08;877.56;28.39;14.88;210.23;2.42;;;;
avr-08;865.58;28.01;12.21;211.14;2.52;;;;
mai-08;805.23;27.64;9.53;212.19;2.87;;;;
juin-08;757.13;27.26;6.86;212.71;2.82;;;;
juil-08;848.15;26.70;7.08;213.24;2.93;;;;
août-08;902.41;26.15;7.29;213.86;3.29;;;;
sept-08;926.12;25.59;7.51;215.69;3.72;;;;
oct-08;935.82;25.03;9.19;215.35;3.56;;;;
nov-08;1009.73;24.46;10.86;215.83;3.59;;;;
déc-08;1044.55;23.90;12.54;215.97;3.40;;;;
janv-09;1067.66;23.40;25.35;216.18;3.39;;;;
févr-09;1088.07;22.91;38.16;216.33;3.40;;;;
mars-09;1110.38;22.41;50.97;215.95;3.59;;;;
avr-09;1123.58;22.24;54.29;216.69;3.73;;;;
mai-09;1089.16;22.07;57.61;216.74;3.69;;;;
juin-09;1152.05;21.90;60.93;217.63;3.73;;;;
juil-09;1197.32;21.95;62.99;218.01;3.85;;;;
août-09;1125.06;21.99;65.04;218.18;3.42;;;;
sept-09;1083.36;22.04;67.10;217.97;3.20;;;;
oct-09;1079.80;22.14;68.69;218.01;3.01;;;;
nov-09;1087.28;22.25;70.27;218.31;2.70;;;;
déc-09;1122.08;22.35;71.86;218.44;2.65;;;;
janv-10;1171.58;22.48;73.69;218.71;2.54;;;;
févr-10;1198.89;22.60;75.52;218.80;2.76;;;;
mars-10;1241.53;22.73;77.35;219.18;3.29;;;;
avr-10;1282.62;22.96;78.67;220.22;3.39;;;;
mai-10;1321.12;23.20;79.99;221.31;3.58;;;;
juin-10;1304.49;23.43;81.31;223.47;3.41;;;;
juil-10;1331.51;23.73;82.16;224.91;3.46;;;;
août-10;1338.31;24.04;83.02;225.96;3.17;;;;
sept-10;1287.29;24.34;83.87;225.72;3.00;;;;
oct-10;1325.19;24.62;84.91;225.92;3.00;;;;
nov-10;1185.31;24.90;85.94;226.55;2.30;;;;
déc-10;1173.88;25.18;86.98;226.89;1.98;;;;
janv-11;1207.22;25.60;86.97;226.42;2.15;;;;
févr-11;1226.42;26.01;86.96;226.23;2.01;;;;
mars-11;1243.32;26.43;86.95;225.67;1.98;;;;
avr-11;1300.58;26.74;87.48;226.67;1.97;;;;
mai-11;1352.49;27.04;88.01;227.66;1.97;;;;
juin-11;1389.24;27.35;88.54;229.39;2.17;;;;
juil-11;1386.43;27.67;88.33;230.09;2.05;;;;
août-11;1341.27;28.00;88.13;229.82;1.80;;;;
sept-11;1323.48;28.32;87.92;229.48;1.62;;;;
oct-11;1359.78;28.74;87.45;229.10;1.53;;;;
nov-11;1403.45;29.17;86.97;230.38;1.68;;;;
déc-11;1443.42;29.59;86.50;231.41;1.72;;;;
janv-12;1437.82;30.14;86.50;231.32;1.75;;;;
févr-12;1394.51;30.70;86.51;230.22;1.65;;;;
mars-12;1422.29;31.25;86.51;229.60;1.72;;;;
avr-12;1480.40;31.54;86.91;230.28;1.91;;;;
mai-12;1512.31;31.82;87.30;232.17;1.98;;;;
juin-12;1550.83;32.11;87.70;232.77;1.96;;;;
juil-12;1570.70;32.50;88.78;232.53;1.76;;;;
août-12;1639.84;32.88;89.87;232.95;1.93;;;;
sept-12;1618.77;33.27;90.95;233.50;2.30;;;;
oct-12;1668.68;33.65;92.09;233.60;2.58;;;;
nov-12;1670.09;34.02;93.23;233.88;2.74;;;;
déc-12;1687.17;34.40;94.37;234.15;2.81;;;;
janv-13;1720.03;34.60;96.31;233.55;2.62;;;;
févr-13;1783.54;34.79;98.26;233.07;2.72;;;;
mars-13;1807.78;34.99;100.20;233.05;2.90;;;;
avr-13;1822.36;35.40;100.42;233.92;2.86;;;;
mai-13;1817.04;35.82;100.63;234.78;2.71;;;;
juin-13;1863.52;36.23;100.85;236.29;2.72;;;;
juil-13;1864.26;36.61;101.61;237.07;2.71;;;;
août-13;1889.77;37.00;102.36;237.90;2.56;;;;
sept-13;1947.09;37.38;103.12;238.34;2.60;;;;
oct-13;1973.10;37.75;104.07;238.25;2.54;;;;
nov-13;1961.53;38.12;105.01;237.85;2.42;;;;
déc-13;1993.23;38.49;105.96;238.03;2.53;;;;
janv-14;1937.27;38.81;104.74;237.43;2.30;;;;
févr-14;2044.57;39.12;103.53;236.15;2.33;;;;
mars-14;2054.27;39.44;102.31;234.81;2.21;;;;
avr-14;2028.18;39.90;101.29;233.71;1.88;;;;
mai-14;2082.20;40.35;100.27;234.72;1.98;;;;
juin-14;2079.99;40.81;99.25;236.12;2.04;;;;
juil-14;2094.86;41.12;97.80;236.60;1.94;;;;
août-14;2111.94;41.43;96.36;237.81;2.20;;;;
sept-14;2099.29;41.74;94.91;238.64;2.36;;;;
oct-14;2094.14;42.00;93.49;238.65;2.32;;;;
nov-14;2039.87;42.25;92.08;238.32;2.17;;;;
déc-14;1944.41;42.51;90.66;237.95;2.17;;;;
janv-15;2024.81;42.80;89.28;237.84;2.07;;;;
févr-15;2080.62;43.10;87.91;237.34;2.26;;;;
mars-15;2054.08;43.39;86.53;236.53;2.24;;;;
avr-15;1918.60;43.55;86.50;236.92;2.09;;;;
mai-15;1904.42;43.72;86.47;237.11;1.78;;;;
juin-15;2021.95;43.88;86.44;238.13;1.89;;;;
juil-15;2075.54;44.07;86.60;239.26;1.81;;;;
août-15;2065.55;44.27;86.76;240.23;1.81;;;;
sept-15;2083.89;44.46;86.92;241.02;1.64;;;;
oct-15;2148.90;44.65;87.64;240.63;1.50;;;;
nov-15;2170.95;44.84;88.37;240.85;1.56;;;;
déc-15;2157.69;45.03;89.09;241.43;1.63;;;;
janv-16;2143.02;45.25;90.91;241.73;1.76;;;;
févr-16;2164.99;45.48;92.73;241.35;2.14;;;;
mars-16;2246.63;45.70;94.55;241.43;2.49;;;;
avr-16;2275.12;45.93;96.46;242.84;2.43;;;;
mai-16;2329.91;46.15;98.38;243.60;2.42;;;;
juin-16;2366.82;46.38;100.29;243.80;2.48;;;;
juil-16;2359.31;46.66;101.53;244.52;2.30;;;;
août-16;2395.35;46.94;102.78;244.73;2.30;;;;
sept-16;2433.99;47.22;104.02;244.96;2.19;;;;
oct-16;2454.10;47.54;105.04;244.79;2.32;;;;
nov-16;2456.22;47.85;106.06;245.52;2.21;;;;
déc-16;2492.84;48.17;107.08;246.82;2.20;;;;
janv-17;2557.00;48.42;108.01;246.66;2.36;;;;
févr-17;2593.61;48.68;108.95;246.67;2.35;;;;
mars-17;2664.34;48.93;109.88;246.52;2.40;;;;
avr-17;2789.80;49.29;111.73;247.87;2.58;;;;
mai-17;2705.16;49.64;113.59;248.99;2.86;;;;
juin-17;2702.77;50.00;115.44;249.55;2.84;;;;
juil-17;2653.63;50.33;117.79;250.55;2.87;;;;
août-17;2701.49;50.66;120.13;251.59;2.98;;;;
sept-17;2754.35;50.99;122.48;251.99;2.91;;;;
oct-17;2793.64;51.44;125.12;252.01;2.89;;;;
nov-17;2857.82;51.89;127.75;252.15;2.89;;;;
déc-17;2901.50;52.34;130.39;252.44;3.00;;;;
janv-18;2785.46;52.81;131.06;252.89;3.15;;;;
févr-18;2723.23;53.28;131.72;252.04;3.12;;;;
mars-18;2567.31;53.75;132.39;251.23;2.83;;;;
avr-18;2607.39;54.15;133.06;251.71;2.71;;;;
mai-18;2754.86;54.54;133.72;252.78;2.68;;;;
juin-18;2803.98;54.94;134.39;254.20;2.57;;;;
juil-18;2903.80;55.32;134.68;255.55;2.53;;;;
août-18;2854.71;55.70;134.98;256.09;2.40;;;;
sept-18;2890.17;56.08;135.27;256.14;2.06;;;;
oct-18;2996.11;56.46;134.48;256.57;1.63;;;;
nov-18;2897.50;56.84;133.69;256.56;1.63;;;;
déc-18;2982.16;57.22;132.90;256.76;1.70;;;;
janv-19;2977.68;57.56;135.41;257.35;1.71;;;;
févr-19;3104.90;57.90;137.91;257.21;1.81;;;;
mars-19;3176.75;58.24;140.42;256.97;1.86;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
